0,1,2,3,4,5,6,7,8,9,10,11,12,13
40.286,22.753,17.533,56.493,41.929,33.9,23.8,10.1,52.3,41.0,76.35,17.32,16.67,43.52
37.838,17.415,18.616,45.382,51.626,30.4,17.8,12.6,48.4,40.8,76.033,20.42,22.76,49.66
39.403,19.127,18.776,44.28,53.091,31.8,19.1,9.7,53.4,42.5,79.975,19.28,19.75,47.65
34.413,18.675,15.738,51.081,42.791,28.3,19.5,8.8,60.5,25.7,84.146,14.71,11.85,45.73
38.254,19.365,18.335,48.876,47.668,31.0,20.3,10.7,50.7,42.2,74.175,19.93,20.48,48.63
39.658,22.226,17.36,53.649,44.301,31.8,23.4,8.4,58.3,33.7,82.092,17.43,16.86,43.77
31.077,24.05,7.027,86.007,12.935,27.8,24.3,3.4,78.0,19.1,92.913,7.51,7.05,22.61
32.61,20.15,12.46,69.98,30.02,27.8,20.4,7.4,69.9,3.3,92.09,12.08,11.49,38.21
40.2,15.46,24.74,53.54,46.46,28.2,16.9,11.3,63.5,28.9,86.74,23.52,21.94,61.54
42.27,21.41,20.85,54.97,45.03,30.8,22.1,8.6,62.7,36.7,89.52,20.78,21.26,49.35
38.84,21.41,17.43,59.16,40.84,31.6,22.1,9.5,60.4,37.2,82.23,18.9,19.0,44.88
38.84,18.75,20.09,66.25,33.75,28.7,18.7,8.8,66.9,29.4,81.64,19.9,15.68,51.73
39.2,22.46,16.74,71.58,28.42,31.3,23.3,8.0,66.1,33.3,90.75,15.32,16.19,42.7
41.53,24.94,16.44,65.98,34.02,34.5,25.7,8.4,55.8,37.3,79.69,17.05,18.03,39.73
32.61,20.15,12.46,69.98,30.02,27.8,20.4,7.4,69.9,3.3,92.09,12.08,11.49,38.21
42.27,21.41,20.85,54.97,45.03,30.8,22.1,8.6,62.7,36.7,89.52,20.78,21.26,49.35
38.84,21.41,17.43,59.16,40.84,31.6,22.1,9.5,60.4,37.2,82.23,18.9,19.0,44.88
41.53,24.94,16.44,65.98,34.02,34.5,25.7,8.4,55.8,37.3,79.69,17.05,18.03,39.73
41.678,18.176,23.502,56.246,43.754,32.0,19.1,12.9,53.2,7.9,82.013,22.17,22.84,56.39
41.678,18.176,23.502,56.246,43.754,32.0,19.1,12.9,53.2,7.9,82.013,22.17,22.84,56.39
32.742,19.413,13.329,61.485,38.515,32.0,19.1,12.9,53.2,7.9,82.013,11.57,13.28,40.71
32.073,20.126,11.947,82.555,17.445,27.8,20.4,7.4,69.9,3.3,92.092,11.52,11.14,37.25
32.073,15.629,16.444,76.016,23.984,28.2,16.9,11.3,63.5,28.9,86.737,15.55,14.41,51.27
36.119,21.7,14.419,70.645,29.355,31.6,22.1,9.5,60.4,37.2,82.233,15.87,15.75,39.92
36.552,23.136,12.526,75.915,24.085,33.6,24.1,9.0,52.1,43.2,79.679,13.22,12.72,34.27
