0,1,2,3,4,5,6,7,8,9,10,11,12,13
42.22,15.7,24.35,45.3,50.07,30.3,19.9,9.5,69.9,26.9,84.68,20.48,22.7,57.77
45.39,15.77,27.89,38.17,61.06,28.2,16.1,11.4,65.9,28.2,84.53,29.62,30.58,63.88
43.9,17.69,25.9,45.65,52.36,30.3,19.9,10.4,62.8,26.5,79.08,25.57,25.89,59.0
46.74,23.16,23.58,48.77,51.23,32.8,24.5,8.3,53.0,39.0,77.42,24.69,24.94,50.45
46.22,23.31,22.91,48.99,51.01,35.3,25.5,9.2,47.0,39.0,70.08,23.52,23.52,49.57
45.56,24.48,21.08,53.75,46.25,36.6,25.1,11.0,57.1,36.0,78.02,21.23,21.81,46.27
45.56,24.48,21.08,53.75,46.25,36.6,25.1,11.0,57.1,36.0,78.02,21.23,21.81,46.27
33.88,24.49,9.39,81.95,18.05,33.7,24.3,6.2,55.0,32.0,90.92,9.09,8.53,27.72
32.924,20.793,12.131,33.9,57.88,29.4,21.6,7.8,70.3,29.4,91.02,11.84,12.42,36.85
31.535,20.293,11.242,37.06,54.47,35.0,21.8,13.2,52.1,42.5,88.1,11.43,12.98,35.65
35.102,23.689,11.413,41.69,49.53,35.4,25.2,10.2,62.6,34.7,83.28,11.24,12.4,32.51
35.636,23.954,11.682,39.95,51.79,35.3,25.8,9.5,63.6,33.1,82.4,12.36,12.01,32.78
31.535,20.293,11.242,37.06,54.47,35.0,21.8,13.2,52.1,42.5,88.1,11.43,12.98,35.65
35.102,23.689,11.413,41.69,49.53,35.4,25.2,10.2,62.6,34.7,83.28,11.24,12.4,32.51
35.636,23.954,11.682,39.95,51.79,35.3,25.8,9.5,63.6,33.1,82.4,12.36,12.01,32.78
39.8,18.53,21.27,45.69,47.92,33.1,19.4,13.2,69.8,29.6,88.304,20.33,23.04,53.44
38.38,16.64,19.89,46.86,41.82,31.7,17.9,12.1,64.9,24.9,88.021,17.26,19.47,51.82
40.67,15.65,24.55,46.08,47.69,25.8,24.5,1.2,61.7,12.0,71.633,25.47,25.94,61.07
39.99,18.18,21.81,48.1,45.41,30.8,19.0,11.6,68.6,25.8,82.3,21.72,21.29,54.54
40.0,19.69,20.26,49.9,45.86,31.7,20.2,11.5,68.5,31.5,95.375,20.31,21.17,50.65
40.22,18.44,21.78,50.22,43.64,31.6,19.0,12.6,70.9,29.1,93.479,21.04,22.56,54.15
44.58,22.2,22.38,52.02,43.06,35.6,23.1,12.5,67.2,31.6,86.379,22.3,23.28,50.2
44.04,22.98,21.06,53.91,42.15,37.8,24.4,13.2,59.7,34.7,84.633,21.91,21.3,47.82
43.61,24.13,19.05,57.05,38.77,39.2,24.7,14.4,57.9,39.5,82.662,19.48,19.83,43.68
39.99,18.18,21.81,48.1,45.41,30.8,19.0,11.6,68.6,25.8,82.3,21.72,21.29,54.54
40.22,18.44,21.78,50.22,43.64,31.6,19.0,12.6,70.9,29.1,93.479,21.04,22.56,54.15
44.58,22.2,22.38,52.02,43.06,35.6,23.1,12.5,67.2,31.6,86.379,22.3,23.28,50.2
44.04,22.98,21.06,53.91,42.15,37.8,24.4,13.2,59.7,34.7,84.633,21.91,21.3,47.82
